orbital_period_days,transit_duration_hours,transit_depth_ppm,planetary_radius_earth_radii,insolation_flux_earth_flux,equilibrium_temperature_k,stellar_effective_temperature_k,stellar_surface_gravity_log10_cm_s2,stellar_radius_solar_radii,right_ascension_decimal_degrees,declination_decimal_degrees
4.311780262,2.7251,1150.0,3.11,274.84,1038.0,5527.0,4.484,0.927,287.24268,42.301369
20.0504494,4.556,841.0,2.69,35.44,622.0,5527.0,4.484,0.927,287.24268,42.301369
9.76734503,1.6585,569.0,2.67,92.46,791.0,5527.0,4.484,0.927,287.24268,42.301369
119.0207044,8.1405,7430.0,8.98,4.25,366.0,5453.0,4.342,1.062,291.58377,42.36816
190.3200468,15.284,1140.0,7.78,7.8,426.0,5626.0,3.907,2.057,294.55917,46.062328
2.861159894,1.8832,1010.0,4.37,797.1,1355.0,6126.0,4.458,1.021,291.67172,42.343109
26.44439337,3.9783,1840.0,3.91,23.54,562.0,5427.0,4.463,0.929,292.87338,42.966141
51.53997972,6.3994,3640.0,5.51,9.67,450.0,5427.0,4.463,0.929,292.87338,42.966141
5.902245782,2.9003,702.0,2.43,173.74,926.0,5427.0,4.463,0.929,292.87338,42.966141
2.382951591,1.8876,392.0,1.86,583.01,1253.0,5427.0,4.463,0.929,292.87338,42.966141
21.02250608,4.1072,1770.0,3.07,17.48,521.0,5067.0,4.585,0.75,294.90973,42.935261
3.219814777,2.0642,488.0,1.69,234.93,998.0,5103.0,4.562,0.787,291.63898,42.436321
5.912273234,2.3254,961.0,1.73,27.72,585.0,4072.0,4.696,0.57,292.13702,42.42942
8.98581901,2.8606,881.0,1.65,15.9,509.0,4072.0,4.696,0.57,292.13702,42.42942
12.94066866,2.4845,42500.0,22.94,64.64,723.0,5875.0,4.572,0.809,291.11969,42.507069
20.5452375,2.517,219.0,2.41,71.57,742.0,5670.0,4.206,1.264,294.40192,50.172089
33.60123371,4.4056,7430.0,8.46,14.22,495.0,5149.0,4.447,0.93,289.26874,42.604172
